,410,435,460,485,510,535,560,585,610,635,660,685,710,735,760,785,810,835,PH,EC,OC,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
46,-1.0854428701325616,-1.0333746016249874,-0.9813063331174131,-0.9292380646098388,-0.8771697961022646,-0.8251015275946976,-0.7060324779311677,-1.0420380114001102,-0.1252629216995256,-0.1268111285400268,-0.057139588263395026,0.6494510747177169,0.6102536476008393,0.8421166049803895,1.073979562359938,1.3058425197394865,1.537705477119035,1.7695684344985836,6.68,0.08,1.29,4.38,331.2,19.5,3.0,7.68,31.67,22.84,6.16,0.42,0.67
47,-1.9087309703624042,-1.6101174476989333,-1.3115039250354623,-1.0128904023719916,-0.7142768797085206,-0.4156633570450539,-0.19279808262345552,-0.30254800302417306,0.25988859562516065,0.3214577230501783,0.3679570647335828,0.5529833574895605,0.5081823406688748,0.702658892866093,0.8971354450633099,1.0916119972605267,1.2860885494577436,1.4805651016549608,6.95,0.08,0.84,11.39,83.16,28.25,6.25,11.94,45.31,24.38,10.01,1.58,0.6
48,-1.8138285399964271,-1.5527333502583003,-1.2916381605201737,-1.0305429707820466,-0.7694477810439198,-0.5083525913057984,-0.18751650293840208,-0.4165276480151489,0.2420973195270619,0.21929723232116,0.23480492314310358,0.6622343715162062,0.6224562366774415,0.7876173218966445,0.9527784071158465,1.1179394923350485,1.2831005775542506,1.4482616627734526,8.4,0.19,0.42,5.78,748.2,62.75,7.75,11.94,18.56,15.04,2.45,1.42,0.43
49,-1.864235842138588,-1.5953394543174448,-1.3264430664963018,-1.0575466786751582,-0.7886502908540152,-0.5197539030328759,-0.12357304873215433,-0.16640425239208906,0.3000972649101418,0.24712105879362006,0.2591466232126999,0.5510977139143306,0.6024478771978861,0.7671009847059211,0.9317540922139556,1.09640719972199,1.2610603072300242,1.4257134147380586,6.68,0.26,1.2,2.98,236.4,25.5,2.75,11.94,38.95,22.12,7.6,0.39,0.82
50,-1.465895013426254,-1.3170367221854151,-1.1681784309445762,-1.0193201397037377,-0.8704618484628991,-0.7216035572220649,-0.5610632339236298,-0.8246794219214578,0.15631521894710104,0.15317156530603465,0.27382439247142193,0.7331524025608629,0.7047840555637632,0.8649887525718998,1.0251934495800348,1.18539814658817,1.3456028435963052,1.5058075406044402,8.85,0.13,0.98,67.44,172.48,24.6,5.17,7.45,2.1,5.39,0.86,0.32,0.73
51,-1.2940467107202205,-1.1883786206331624,-1.0827105305461047,-0.9770424404590464,-0.8713743503719883,-0.7657062602849366,-0.6940776680145468,-0.9731112955020454,0.09808592784544386,0.06215059802973003,0.18994250436703364,0.6411253461425137,0.6356892750498586,0.8384231317064048,1.04115698836295,1.2438908450194948,1.4466247016760396,1.6493585583325845,8.42,0.2,0.27,77.08,283.36,5.36,4.54,28.12,4.2,5.35,0.59,0.95,0.6
52,-1.223792773804197,-1.131983429767149,-1.0401740857301007,-0.9483647416930528,-0.856555397656005,-0.7647460536189622,-0.673186375325894,-1.0743214693704715,0.06205142357191385,0.010268201235378657,0.10218299376938447,0.6129056103728957,0.5781507870674204,0.8086048787748709,1.0390589704823192,1.2695130621897677,1.4999671538972164,1.7304212456046646,5.78,0.07,0.77,78.83,147.84,5.04,2.06,20.02,19.44,56.1,2.14,0.74,0.56
53,-0.8261148998020956,-0.8351009025356119,-0.8440869052691281,-0.8530729080026445,-0.8620589107361607,-0.8710449134696866,-0.9307869668618238,-1.3350693396832365,-0.10842530250760263,-0.15061444148869066,-0.0009154998994878254,0.5250533655415859,0.4913213306272535,0.767608640023992,1.0438959494207296,1.320183258817467,1.5964705682142042,1.8727578776109415,6.56,0.26,0.44,55.01,219.06,3.3,2.9,22.41,14.23,10.56,1.11,1.52,0.92
54,-1.4103156310833254,-1.2767331580172623,-1.1431506849511992,-1.0095682118851361,-0.8759857388190728,-0.7424032657530155,-0.6176794984407681,-0.826988388432318,0.1007609178323705,0.10611466408002038,0.2795231580677955,0.689524200688909,0.6762859631167394,0.854231686984245,1.0321774108517492,1.2101231347192534,1.3880688585867575,1.5660145824542615,6.77,0.6,0.22,26.8,316.42,6.5,2.9,43.1,2.08,28.91,1.98,0.69,0.3
55,-1.830346721149693,-1.5683655791565543,-1.3063844371634148,-1.044403295170276,-0.7824221531771366,-0.5204410111840024,-0.1365766835754463,-0.3952771118210782,0.25907378145041576,0.21233728712879166,0.30621333452354227,0.6594435314860893,0.6484760030620171,0.7988955390244621,0.9493150749869054,1.0997346109493487,1.250154146911792,1.4005736828742352,7.17,0.4,1.16,39.42,328.59,9.3,3.3,13.79,5.86,47.3,1.46,1.1,0.51
56,-0.23073873264381553,-0.3644379925952176,-0.49813725254661945,-0.6318365124980215,-0.7655357724494236,-0.8992350324008329,-1.0694065345121544,-1.682593600435538,-0.35591670412134396,-0.49006278291155053,-0.30306759167042013,0.3418384291539465,0.2771939656997955,0.6295917180619455,0.9819894704240927,1.3343872227862403,1.686784975148388,2.039182727510535,9.29,0.27,0.51,14.89,146.04,6.0,5.3,19.87,4.24,5.54,0.2,1.43,1.34
57,-1.5789461561047275,-1.3981585898324165,-1.2173710235601056,-1.036583457287795,-0.8557958910154839,-0.6750083247431782,-0.4997801864636758,-0.6540559678927068,0.17761425725086305,0.1825253435241246,0.3455685740500481,0.7086061255618479,0.7061099789560297,0.8570916738078324,1.0080733686596335,1.159055063511435,1.3100367583632364,1.4610184532150376,7.07,0.17,0.39,40.12,121.7,4.0,2.0,19.87,14.06,10.23,0.51,1.89,0.49
58,-0.9713754358894113,-0.9449880295906679,-0.9186006232919245,-0.892213216993181,-0.8658258106944375,-0.839438404395702,-0.780550663449289,-1.268242342894651,-0.04269704438587459,-0.13358996871924383,-0.015309885726339668,0.5846357243073195,0.5500150692497944,0.8025554216647711,1.0550957740797464,1.3076361264947216,1.5601764789096968,1.812716831324672,9.39,0.75,0.6,5.78,219.06,11.3,2.0,16.56,57.59,17.27,0.92,1.34,0.73
59,-1.9086098298506173,-1.6216675475633104,-1.3347252652760029,-1.047782982988696,-0.7608407007013892,-0.47389841841408775,-0.181097349609829,-0.30127522435807824,0.3298144558122581,0.3236950589486853,0.4227317876633738,0.6680595956288824,0.6486759422376057,0.7815786600564848,0.9144813778753633,1.0473840956942415,1.18028681351312,1.3131895313319983,9.08,0.26,0.48,9.69,376.92,37.0,9.5,30.76,4.29,4.71,1.32,0.8,0.84
60,-1.3998078483498295,-1.2609739544765066,-1.1221400606031837,-0.9833061667298609,-0.8444722728565381,-0.7056383789832221,-0.5846247562978999,-0.8450909334514216,0.08397030956893037,0.046723200249389196,0.20491720109393238,0.6110130137894353,0.5896290134643586,0.807072784548401,1.0245165556324423,1.2419603267164834,1.4594040978005247,1.6768478688845658,8.9,0.17,0.42,33.45,115.8,13.5,8.3,18.14,13.11,3.05,2.14,0.69,0.77
